SolutionID,Z1,Z2,Z3,Z4,IsFeasible,Variant,Instance,Seed,Z1_common
r111_21_s8_32,12,1117.8048,0.0861,228.7774,True,FULL,r111_21,8,12.0
r112_21_s6_27,11,1016.5587,0.0592,228.8052,True,FULL,r112_21,6,11.0
r201C10_s1_0,1,253.3431,0.0,660.9628,True,FULL,r201C10,1,1.0
r201_21_s5_10,4,1156.2035,0.0417,960.7774,True,FULL,r201_21,5,4.0
r202C15_s1_0,2,358.0048,0.0167,820.8617,True,FULL,r202C15,1,2.0
r202C5_s1_0,1,128.7771,0.0,428.8114,True,FULL,r202C5,1,1.0
r202_21_s2_40,3,1068.7063,0.0083,973.6404,True,FULL,r202_21,2,3.0
r203C10_s1_1,1,218.2135,0.0,704.6808,True,FULL,r203C10,1,1.0
r203C5_s1_0,1,179.0559,0.0,679.1391,True,FULL,r203C5,1,1.0
r203_21_s1_20,3,899.4828,0.0109,999.3672,True,FULL,r203_21,1,3.0
r204_21_s6_1,3,731.642,0.126,996.2427,True,FULL,r204_21,6,3.0
r205_21_s10_3,3,995.3664,0.0343,955.0759,True,FULL,r205_21,10,3.0
r206_21_s4_10,3,932.8777,0.0577,942.7933,True,FULL,r206_21,4,3.0
r207_21_s4_28,3,821.3464,0.0859,995.431,True,FULL,r207_21,4,3.0
r208_21_s5_23,2,739.196,0.0051,940.3925,True,FULL,r208_21,5,2.0
r209C15_s1_1,1,313.2366,0.0,840.414,True,FULL,r209C15,1,1.0
r209_21_s10_18,3,874.9097,0.0262,904.123,True,FULL,r209_21,10,3.0
r210_21_s10_15,3,858.0448,0.0374,970.8079,True,FULL,r210_21,10,3.0
r211_21_s9_12,3,767.256,0.0146,824.8386,True,FULL,r211_21,9,3.0
rc101_21_s2_53,16,1702.9741,0.1098,239.0314,True,FULL,rc101_21,2,16.0
rc102C10_s1_0,4,423.5102,0.1957,214.1655,True,FULL,rc102C10,1,4.0
rc102_21_s3_74,15,1566.9214,0.1218,239.5435,True,FULL,rc102_21,3,15.0
rc103C15_s1_3,4,397.6699,0.0494,216.3878,True,FULL,rc103C15,1,4.0
rc103_21_s6_12,13,1385.9311,0.094,239.0375,True,FULL,rc103_21,6,13.0
rc104_21_s7_98,12,1235.4204,0.1104,238.7961,True,FULL,rc104_21,7,12.0
rc105C5_s1_0,2,241.2964,0.0373,181.0422,True,FULL,rc105C5,1,2.0
rc105_21_s10_88,14,1463.6343,0.1039,233.3786,True,FULL,rc105_21,10,14.0
rc106_21_s9_84,14,1423.8041,0.1047,238.2313,True,FULL,rc106_21,9,14.0
rc107_21_s1_75,12,1267.5403,0.0673,237.7765,True,FULL,rc107_21,1,12.0
rc108C10_s1_0,3,345.9273,0.1477,208.9448,True,FULL,rc108C10,1,3.0
rc108C15_s1_11,3,378.3555,0.0702,232.6712,True,FULL,rc108C15,1,3.0
rc108C5_s1_0,2,253.9307,0.0929,216.3119,True,FULL,rc108C5,1,2.0
rc108_21_s6_17,11,1182.6983,0.0555,238.3788,True,FULL,rc108_21,6,11.0
rc201C10_s1_0,1,412.8614,0.0,806.0416,True,FULL,rc201C10,1,1.0
rc201_21_s5_41,4,1447.6807,0.0581,958.2811,True,FULL,rc201_21,5,4.0
rc202C15_s1_0,2,394.3871,0.0989,839.2022,True,FULL,rc202C15,1,2.0
rc202_21_s6_57,4,1247.0927,0.0794,954.4447,True,FULL,rc202_21,6,4.0
rc203_21_s5_35,3,1085.4009,0.0054,953.8609,True,FULL,rc203_21,5,3.0
rc204C15_s1_0,1,382.2226,0.0,790.9133,True,FULL,rc204C15,1,1.0
rc204C5_s1_0,1,176.394,0.0,780.4421,True,FULL,rc204C5,1,1.0
rc204_21_s3_43,3,900.4656,0.141,905.9078,True,FULL,rc204_21,3,3.0
rc205C10_s1_1,2,325.9774,0.1291,666.9442,True,FULL,rc205C10,1,2.0
rc205_21_s1_21,4,1181.6437,0.0499,922.2892,True,FULL,rc205_21,1,4.0
rc206_21_s1_20,4,1120.8213,0.1125,903.3707,True,FULL,rc206_21,1,4.0
rc207_21_s3_20,3,1018.1469,0.0415,895.1625,True,FULL,rc207_21,3,3.0
rc208C5_s1_0,1,167.9835,0.0,406.0384,True,FULL,rc208C5,1,1.0
rc208_21_s7_90,3,849.9782,0.0757,859.7978,True,FULL,rc208_21,7,3.0
c101C10_s4_0,3,388.2454,0.1288,1162.8058,True,No-EQ,c101C10,4,3.0
c101C5_s1_0,2,257.7475,0.1181,872.0789,True,No-EQ,c101C5,1,2.0
c101_21_s2_2,12,1043.4548,0.1078,1199.3839,True,No-EQ,c101_21,2,12.0
c102_21_s4_3,11,1037.1225,0.0652,1205.1121,True,No-EQ,c102_21,4,11.0
c103C15_s3_2,3,374.4368,0.1115,1175.6675,True,No-EQ,c103C15,3,3.0
c103C5_s1_1,1,175.3692,0.0,1197.4184,True,No-EQ,c103C5,1,1.0
c104C10_s1_0,2,273.9312,0.2483,1185.9421,True,No-EQ,c104C10,1,2.0
c104_21_s2_3,10,895.6013,0.0536,1232.6795,True,No-EQ,c104_21,2,10.0
c105_21_s8_1,11,1052.1882,0.0442,1174.3839,True,No-EQ,c105_21,8,11.0
c106C15_s1_0,3,275.1332,0.2248,1082.9662,True,No-EQ,c106C15,1,3.0
c106_21_s3_2,11,1015.8785,0.0926,1233.7597,True,No-EQ,c106_21,3,11.0
c107_21_s10_2,11,1018.2819,0.0812,1224.1646,True,No-EQ,c107_21,10,11.0
c108_21_s7_3,11,1003.3857,0.0808,1179.858,True,No-EQ,c108_21,7,11.0
c109_21_s7_4,10,956.403,0.0565,1220.0588,True,No-EQ,c109_21,7,10.0
c201_21_s1_0,4,629.9494,0.1553,3359.4904,True,No-EQ,c201_21,1,4.0
c202C10_s1_0,1,304.0583,0.0,3030.0,True,No-EQ,c202C10,1,1.0
c202C15_s1_0,2,397.2287,0.1088,2939.1172,True,No-EQ,c202C15,1,2.0
c202_21_s1_1,4,629.9494,0.1553,3359.4904,True,No-EQ,c202_21,1,4.0
c203_21_s2_2,4,629.9494,0.1553,3359.6728,True,No-EQ,c203_21,2,4.0
c204_21_s1_0,4,629.9494,0.1553,3360.7512,True,No-EQ,c204_21,1,4.0
c205C10_s1_0,2,228.2812,0.1253,2739.5529,True,No-EQ,c205C10,1,2.0
c205_21_s1_0,4,629.9494,0.1553,3361.5298,True,No-EQ,c205_21,1,4.0
c206C5_s1_0,1,242.5557,0.0,2363.4712,True,No-EQ,c206C5,1,1.0
c206_21_s1_0,4,629.9494,0.1553,3361.713,True,No-EQ,c206_21,1,4.0
c207_21_s1_0,4,629.9494,0.1554,3361.8046,True,No-EQ,c207_21,1,4.0
c208C15_s1_0,2,300.5485,0.0509,2931.434,True,No-EQ,c208C15,1,2.0
c208C5_s1_0,1,158.4807,0.0,2174.3626,True,No-EQ,c208C5,1,1.0
c208_21_s1_0,4,629.9494,0.1554,3361.8046,True,No-EQ,c208_21,1,4.0
r101_21_s10_1,19,1620.6791,0.1291,228.5136,True,No-EQ,r101_21,10,19.0
r102C10_s1_0,4,262.9248,0.1856,202.0,True,No-EQ,r102C10,1,4.0
r102C15_s1_0,5,412.7823,0.1805,220.9159,True,No-EQ,r102C15,1,5.0
r102_21_s10_2,17,1441.851,0.1318,229.0952,True,No-EQ,r102_21,10,17.0
r103C10_s1_0,2,206.1216,0.1346,224.1731,True,No-EQ,r103C10,1,2.0
r103_21_s2_6,14,1248.9006,0.1027,229.9498,True,No-EQ,r103_21,2,14.0
r104C5_s1_0,2,136.6897,0.0579,194.3848,True,No-EQ,r104C5,1,2.0
r104_21_s7_1,12,1070.0485,0.0898,228.9722,True,No-EQ,r104_21,7,12.0
r105C15_s1_0,4,336.1536,0.2057,220.6196,True,No-EQ,r105C15,1,4.0
r105C5_s1_0,2,156.0821,0.1851,209.3246,True,No-EQ,r105C5,1,2.0
