eta_D,eta_H,d_cap,h_cap,best_Gini,n_feasible,Variant,Instance
0.03,0.05,180.630276,1169.7,0.0,10,FULL,c103C5
0.05,0.05,184.13766,1169.7,0.0,10,FULL,c103C5
0.1,0.05,192.90612000000002,1169.7,0.0,10,FULL,c103C5
0.0,0.0,273.9312,832.7295,,0,FULL,c104C10
0.01,0.0,276.670512,832.7295,,0,FULL,c104C10
0.03,0.0,282.149136,832.7295,,0,FULL,c104C10
0.05,0.0,287.62776,832.7295,,0,FULL,c104C10
0.1,0.0,301.32432,832.7295,0.0027,8,FULL,c104C10
0.0,0.05,273.9312,874.365975,,0,FULL,c104C10
0.01,0.05,276.670512,874.365975,,0,FULL,c104C10
0.03,0.05,282.149136,874.365975,,0,FULL,c104C10
0.05,0.05,287.62776,874.365975,,0,FULL,c104C10
0.1,0.05,301.32432,874.365975,0.0014,20,FULL,c104C10
0.0,0.0,895.6013,1165.1108,,0,FULL,c104_21
0.01,0.0,904.557313,1165.1108,,0,FULL,c104_21
0.03,0.0,922.4693390000001,1165.1108,,0,FULL,c104_21
0.05,0.0,940.3813650000001,1165.1108,,0,FULL,c104_21
0.1,0.0,985.1614300000001,1165.1108,0.0214,7,FULL,c104_21
0.0,0.05,895.6013,1223.36634,,0,FULL,c104_21
0.01,0.05,904.557313,1223.36634,0.0355,1,FULL,c104_21
0.03,0.05,922.4693390000001,1223.36634,0.0263,18,FULL,c104_21
0.05,0.05,940.3813650000001,1223.36634,0.019,50,FULL,c104_21
0.1,0.05,985.1614300000001,1223.36634,0.0142,130,FULL,c104_21
0.0,0.0,1052.1882,1118.4191,,0,FULL,c105_21
0.01,0.0,1062.710082,1118.4191,,0,FULL,c105_21
0.03,0.0,1083.753846,1118.4191,,0,FULL,c105_21
0.05,0.0,1104.79761,1118.4191,,0,FULL,c105_21
0.1,0.0,1157.40702,1118.4191,,0,FULL,c105_21
0.0,0.05,1052.1882,1174.3400550000001,,0,FULL,c105_21
0.01,0.05,1062.710082,1174.3400550000001,,0,FULL,c105_21
0.03,0.05,1083.753846,1174.3400550000001,0.0214,6,FULL,c105_21
0.05,0.05,1104.79761,1174.3400550000001,0.0177,20,FULL,c105_21
0.1,0.05,1157.40702,1174.3400550000001,0.0177,34,FULL,c105_21
0.0,0.0,275.1332,1063.5529,,0,FULL,c106C15
0.01,0.0,277.884532,1063.5529,,0,FULL,c106C15
0.03,0.0,283.387196,1063.5529,,0,FULL,c106C15
0.05,0.0,288.88986,1063.5529,,0,FULL,c106C15
0.1,0.0,302.64652,1063.5529,0.1589,10,FULL,c106C15
0.0,0.05,275.1332,1116.730545,0.222,10,FULL,c106C15
0.01,0.05,277.884532,1116.730545,0.222,10,FULL,c106C15
0.03,0.05,283.387196,1116.730545,0.222,10,FULL,c106C15
0.05,0.05,288.88986,1116.730545,0.2177,19,FULL,c106C15
0.1,0.05,302.64652,1116.730545,0.1515,49,FULL,c106C15
0.0,0.0,1015.8785,1105.8149,,0,FULL,c106_21
0.01,0.0,1026.037285,1105.8149,,0,FULL,c106_21
0.03,0.0,1046.354855,1105.8149,,0,FULL,c106_21
0.05,0.0,1066.672425,1105.8149,,0,FULL,c106_21
0.1,0.0,1117.4663500000001,1105.8149,,0,FULL,c106_21
0.0,0.05,1015.8785,1161.105645,,0,FULL,c106_21
0.01,0.05,1026.037285,1161.105645,,0,FULL,c106_21
0.03,0.05,1046.354855,1161.105645,,0,FULL,c106_21
0.05,0.05,1066.672425,1161.105645,0.0414,1,FULL,c106_21
0.1,0.05,1117.4663500000001,1161.105645,0.0133,31,FULL,c106_21
0.0,0.0,1018.2819,1109.1108,,0,FULL,c107_21
0.01,0.0,1028.464719,1109.1108,,0,FULL,c107_21
0.03,0.0,1048.830357,1109.1108,,0,FULL,c107_21
0.05,0.0,1069.195995,1109.1108,0.0352,1,FULL,c107_21
0.1,0.0,1120.1100900000001,1109.1108,0.0352,1,FULL,c107_21
0.0,0.05,1018.2819,1164.56634,,0,FULL,c107_21
0.01,0.05,1028.464719,1164.56634,,0,FULL,c107_21
0.03,0.05,1048.830357,1164.56634,0.0404,5,FULL,c107_21
0.05,0.05,1069.195995,1164.56634,0.0199,65,FULL,c107_21
0.1,0.05,1120.1100900000001,1164.56634,0.0165,128,FULL,c107_21
0.0,0.0,1003.3857,1067.3286,,0,FULL,c108_21
0.01,0.0,1013.419557,1067.3286,,0,FULL,c108_21
0.03,0.0,1033.487271,1067.3286,,0,FULL,c108_21
0.05,0.0,1053.554985,1067.3286,,0,FULL,c108_21
0.1,0.0,1103.7242700000002,1067.3286,0.023,3,FULL,c108_21
0.0,0.05,1003.3857,1120.69503,,0,FULL,c108_21
0.01,0.05,1013.419557,1120.69503,,0,FULL,c108_21
0.03,0.05,1033.487271,1120.69503,,0,FULL,c108_21
0.05,0.05,1053.554985,1120.69503,,0,FULL,c108_21
0.1,0.05,1103.7242700000002,1120.69503,0.023,10,FULL,c108_21
0.0,0.0,956.403,1151.9732,,0,FULL,c109_21
0.01,0.0,965.96703,1151.9732,,0,FULL,c109_21
0.03,0.0,985.09509,1151.9732,,0,FULL,c109_21
0.05,0.0,1004.22315,1151.9732,,0,FULL,c109_21
0.1,0.0,1052.0433,1151.9732,,0,FULL,c109_21
0.0,0.05,956.403,1209.57186,,0,FULL,c109_21
0.01,0.05,965.96703,1209.57186,,0,FULL,c109_21
0.03,0.05,985.09509,1209.57186,,0,FULL,c109_21
0.05,0.05,1004.22315,1209.57186,,0,FULL,c109_21
0.1,0.05,1052.0433,1209.57186,0.0261,7,FULL,c109_21
0.0,0.0,629.9494,3229.6619,,0,FULL,c201_21
0.01,0.0,636.248894,3229.6619,,0,FULL,c201_21
0.03,0.0,648.847882,3229.6619,,0,FULL,c201_21
0.05,0.0,661.44687,3229.6619,0.0897,11,FULL,c201_21
0.1,0.0,692.94434,3229.6619,0.0498,52,FULL,c201_21
0.0,0.05,629.9494,3391.144995,0.1553,10,FULL,c201_21
0.01,0.05,636.248894,3391.144995,0.1553,10,FULL,c201_21
0.03,0.05,648.847882,3391.144995,0.1179,59,FULL,c201_21
0.05,0.05,661.44687,3391.144995,0.0767,106,FULL,c201_21
0.1,0.05,692.94434,3391.144995,0.039,215,FULL,c201_21
0.0,0.0,304.0583,3030.0,0.0,10,FULL,c202C10
0.01,0.0,307.098883,3030.0,0.0,10,FULL,c202C10
