Instance,Variant,HV2D,n_points
r204_21,No-EQ,0.07040565,2
r205_21,FULL,0.70989975,10
r205_21,No-EQ,0.67095945,6
r206_21,FULL,1.0829637,5
r206_21,No-EQ,0.6823152,7
r207_21,FULL,0.98190855,6
r207_21,No-EQ,0.6271019999999999,9
r208_21,FULL,1.0982664,3
r208_21,No-EQ,0.9225720000000001,15
r209C15,FULL,1.1025,10
r209C15,No-EQ,1.1025,10
r209_21,FULL,1.09537785,10
r209_21,No-EQ,0.37877489999999997,7
r210_21,FULL,0.9112383000000001,10
r210_21,No-EQ,0.98618625,7
r211_21,FULL,0.8692330500000001,8
r211_21,No-EQ,0.7339122000000001,5
rc101_21,FULL,0.7780563,28
rc101_21,No-EQ,0.5580414000000001,5
rc102C10,FULL,0.777483,95
rc102C10,No-EQ,0.0519057,10
rc102_21,FULL,0.81613665,30
rc102_21,No-EQ,0.5452744500000001,15
rc103C15,FULL,0.8459041500000001,79
rc103C15,No-EQ,0.0519057,7
rc103_21,FULL,0.7909335000000001,28
rc103_21,No-EQ,0.56273805,12
rc104_21,FULL,0.77141925,35
rc104_21,No-EQ,0.5742702000000001,6
rc105C5,FULL,0.60000255,26
rc105C5,No-EQ,0.0519057,10
rc105_21,FULL,0.82222245,29
rc105_21,No-EQ,0.5584382999999999,5
rc106_21,FULL,0.7371094499999999,37
rc106_21,No-EQ,0.47656665,9
rc107_21,FULL,0.7457751,30
rc107_21,No-EQ,0.5674126500000001,13
rc108C10,FULL,0.6771114,168
rc108C10,No-EQ,0.23273775000000002,33
rc108C15,FULL,0.6937371,76
rc108C15,No-EQ,0.32759685000000005,29
rc108C5,FULL,0.5525068500000001,56
rc108C5,No-EQ,0.0519057,8
rc108_21,FULL,0.7454223000000001,18
rc108_21,No-EQ,0.50968575,6
rc201C10,FULL,1.1025,10
rc201C10,No-EQ,1.1025,10
rc201_21,FULL,0.9846648,9
rc201_21,No-EQ,0.50135085,4
rc202C15,FULL,0.94089555,64
rc202C15,No-EQ,0.0519057,1
rc202_21,FULL,0.5425182000000001,11
rc202_21,No-EQ,0.33853365,3
rc203_21,FULL,1.0010700000000001,9
rc203_21,No-EQ,0.48269655,6
rc204C15,FULL,1.1025,1
rc204C15,No-EQ,1.1025,2
rc204C5,FULL,1.1025,10
rc204C5,No-EQ,1.1025,8
rc204_21,FULL,0.763371,22
rc204_21,No-EQ,0.81543105,9
rc205C10,FULL,0.940653,71
rc205C10,No-EQ,0.0519057,8
rc205_21,FULL,0.82138455,12
rc205_21,No-EQ,0.19981710000000003,6
rc206_21,FULL,0.75955635,17
rc206_21,No-EQ,0.7384986,4
rc207_21,FULL,0.89503155,11
rc207_21,No-EQ,0.61667235,4
rc208C5,FULL,1.1025,10
rc208C5,No-EQ,1.1025,10
rc208_21,FULL,0.62884395,8
rc208_21,No-EQ,0.5946444,6
