Instance,Variant,HV3D
r102C15,FULL,0.8426120850000001
r102C15,No-EQ,0.32154192000000004
r102_21,FULL,0.7042758975000001
r102_21,No-EQ,0.43894824750000005
r103C10,FULL,0.62900712
r103C10,No-EQ,0.5855267250000001
r103_21,FULL,0.7562764125000001
r103_21,No-EQ,0.45740079000000006
r104C5,FULL,0.22930236000000004
r104C5,No-EQ,0.0537138
r104_21,FULL,0.8716916250000001
r104_21,No-EQ,0.5964315525000001
r105C15,FULL,0.9778921425000001
r105C15,No-EQ,0.7644723975000001
r105C5,FULL,0.8780817150000001
r105C5,No-EQ,0.5729317650000001
r105_21,FULL,0.6253027200000001
r105_21,No-EQ,0.25314943500000003
r106_21,FULL,0.8277250275000001
r106_21,No-EQ,0.7130970000000001
r107_21,FULL,0.8536095225000001
r107_21,No-EQ,0.7195333950000001
r108_21,FULL,0.7909588575000001
r108_21,No-EQ,0.7404632550000001
r109_21,FULL,0.7824155850000001
r109_21,No-EQ,0.45327964500000006
r110_21,FULL,0.6238441125000002
r110_21,No-EQ,0.550983195
r111_21,FULL,0.8687975625000001
r111_21,No-EQ,0.5614481250000001
r112_21,FULL,0.7313180175
r112_21,No-EQ,0.6541507350000001
r201C10,FULL,0.10870098750000001
r201C10,No-EQ,0.10870098750000001
r201_21,FULL,1.0310734350000001
r201_21,No-EQ,0.6993675675000001
r202C15,FULL,1.0218124350000002
r202C15,No-EQ,0.0537138
r202C5,FULL,1.1576250000000001
r202C5,No-EQ,1.1576250000000001
r202_21,FULL,0.9250349850000001
r202_21,No-EQ,0.9163527975000001
r203C10,FULL,0.10870098750000001
r203C10,No-EQ,0.10870098750000001
r203C5,FULL,0.12986237250000002
r203C5,No-EQ,0.12986237250000002
r203_21,FULL,0.86655177
r203_21,No-EQ,0.7636620600000001
r204_21,FULL,1.071266175
r204_21,No-EQ,0.9911816775000001
r205_21,FULL,1.0046101275000001
r205_21,No-EQ,0.9321891075000001
r206_21,FULL,0.9342033750000002
r206_21,No-EQ,0.7818367725
r207_21,FULL,1.080897615
r207_21,No-EQ,1.0465856100000002
r208_21,FULL,1.0134775350000003
r208_21,No-EQ,0.9117222975
r209C15,FULL,0.5271592725
r209C15,No-EQ,0.5271592725
r209_21,FULL,1.07946216
r209_21,No-EQ,0.4484639250000001
r210_21,FULL,0.8901441675
r210_21,No-EQ,0.9970161075000001
r211_21,FULL,0.9138986325000001
